n,side,group_score,strategy
1,0.81317279836463119,0.66125000000016509,final_bestof
2,0.94950427403156967,0.45077918320210908,final_bestof
3,1.1420312698589801,0.43474514044523821,final_bestof
4,1.2908057156095007,0.41654484886253879,final_bestof
5,1.4436924729653744,0.41684959129937571,final_bestof
6,1.5484384790434598,0.39961028723040387,final_bestof
7,1.6729891186633359,0.39984179873798936,final_bestof
8,1.7559208458066899,0.38540725209231025,final_bestof
9,1.8566120387774963,0.38300091805928127,final_bestof
10,1.9406958146877369,0.37663002451464983,final_bestof
11,2.0307905366393206,0.37491910942761997,final_bestof
12,2.1148721019766903,0.372723667309942,final_bestof
13,2.1998626522276119,0.37226120682045405,final_bestof
14,2.2745377045730968,0.36953726925176095,final_bestof
15,2.3514818952178449,0.36863114023582044,final_bestof
16,2.4223634721884517,0.36674029946205577,final_bestof
17,2.4946214565745701,0.36606683597660172,final_bestof
18,2.5447516278629183,0.3597644915283873,final_bestof
19,2.6239098417379165,0.36236330829311042,final_bestof
20,2.6857603723699284,0.36066543888963276,final_bestof
21,2.751966684832122,0.3606343159250428,final_bestof
22,2.8152348951881341,0.36025215977658831,final_bestof
23,2.8700025670026545,0.35812672759138381,final_bestof
24,2.9325605163526598,0.35832963258627415,final_bestof
25,2.9818404423033673,0.35565489693423763,final_bestof
26,3.0485992873620633,0.35745990826555696,final_bestof
27,3.1030753368585327,0.35663246467480358,final_bestof
28,3.154058222755372,0.35528868830467059,final_bestof
29,3.2093214438701403,0.35516359069257664,final_bestof
30,3.2621158693688699,0.35471333150627393,final_bestof
31,3.3072462072809747,0.3528347572765933,final_bestof
32,3.3616574330068132,0.35314814677781114,final_bestof
33,3.4165563043858871,0.35372293881936218,final_bestof
34,3.4573006596263358,0.35155670150154988,final_bestof
35,3.5110344419189743,0.35221036720975096,final_bestof
36,3.5542112308788396,0.35090048538070218,final_bestof
37,3.6005837390829467,0.35038387194996035,final_bestof
38,3.6453076157940592,0.34969125299384657,final_bestof
39,3.6939723016925679,0.34988285553004844,final_bestof
40,3.7380445606132739,0.34932442842826211,final_bestof
41,3.7792466720072948,0.34835866848483449,final_bestof
42,3.8335763208633185,0.34991208114009376,final_bestof
43,3.872393968159995,0.34873104754981188,final_bestof
44,3.9104270301601649,0.34753271723198287,final_bestof
45,3.9595119089805273,0.34839410127463594,final_bestof
46,4.0022168569182757,0.34821173412610434,final_bestof
47,4.0442993354480992,0.34800759818523264,final_bestof
48,4.0866368348147706,0.34792917957635183,final_bestof
49,4.1227797260063435,0.34688393202385598,final_bestof
50,4.1602683164819849,0.34615664930247692,final_bestof
51,4.2066399545583133,0.34697685700561509,final_bestof
52,4.2388439711632753,0.34553458099744705,final_bestof
53,4.2753390417237771,0.34487780984316196,final_bestof
54,4.3102871187824672,0.3440476860433716,final_bestof
55,4.351113645114709,0.34422163550369839,final_bestof
56,4.3857933326208194,0.3434854135082363,final_bestof
57,4.4272199966786099,0.34386450699984122,final_bestof
58,4.4701693967893998,0.34452438682745695,final_bestof
59,4.5017416351494708,0.34348606355319034,final_bestof
60,4.5403262855598197,0.34357604632242378,final_bestof
61,4.5744176653319881,0.34303765535903868,final_bestof
62,4.61281965596923,0.34319524481445296,final_bestof
63,4.6520649846200808,0.34351918446235297,final_bestof
64,4.6833933221271007,0.34272145327726128,final_bestof
65,4.7149747530668424,0.34201518341627274,final_bestof
66,4.7464060834180302,0.3413389501319346,final_bestof
67,4.7820940735879782,0.34131975714395918,final_bestof
68,4.8053790882459708,0.33958335561399527,final_bestof
69,4.8481544602906625,0.34064640102661226,final_bestof
70,4.8847242672483535,0.34086473095778519,final_bestof
71,4.9217260788467563,0.34117447317183469,final_bestof
72,4.9526597745844079,0.34067831726092335,final_bestof
73,4.990904765960182,0.34122096414909664,final_bestof
74,5.0253493362043349,0.34127210744445069,final_bestof
75,5.057176919460213,0.3410005119296145,final_bestof
76,5.0935535794284421,0.34137221140142493,final_bestof
77,5.1147908650367633,0.33975435835147427,final_bestof
78,5.146288424030665,0.33954210952964131,final_bestof
79,5.1795615434683615,0.3395931364883083,final_bestof
80,5.2085009196187597,0.33910602287086833,final_bestof
81,5.2387699803405923,0.33882359144342933,final_bestof
82,5.2671286615659394,0.33832493094499277,final_bestof
83,5.3011822291970754,0.33858473526692617,final_bestof
84,5.3260672576012906,0.33770229086300629,final_bestof
85,5.3601017175585337,0.33800812261851704,final_bestof
86,5.3978518670876756,0.33880005557002213,final_bestof
87,5.4252685980718942,0.33831654438189623,final_bestof
88,5.4502836246076578,0.33756354078029988,final_bestof
89,5.4855884363467844,0.3381087695840625,final_bestof
90,5.514521349566504,0.33788828572027529,final_bestof
91,5.5462784715825428,0.33803521850923063,final_bestof
92,5.5761860964942951,0.33797664546452483,final_bestof
93,5.6007092417451174,0.33728972054375445,final_bestof
94,5.6371557719932666,0.33805877869911699,final_bestof
95,5.6558414341375292,0.3367214981905986,final_bestof
96,5.6851160999498287,0.3366723444782162,final_bestof
97,5.7084472735654526,0.33594196159873035,final_bestof
98,5.7339573146317377,0.33549251516345718,final_bestof
99,5.7672565285157971,0.33597220066371802,final_bestof
100,5.7936965324926319,0.33566919510617149,final_bestof
101,5.8233035249526353,0.33575112815570085,final_bestof
102,5.8546790422316644,0.33605163419163414,final_bestof
103,5.8835777122090391,0.3360823951029413,final_bestof
104,5.9120836818378182,0.33608397558704817,final_bestof
105,5.9374552644096736,0.33574642873205857,final_bestof
